problem_id,problem_title,misconception_id,misconception_description,misconception_concept,kc_target,is_negative_control,pseudocode_status,model,dimensions,query_token_count,query_latency_ms,retrieval_latency_ms,top_k,top1_code,top1_description,top1_kc_tags,top1_distance,top1_similarity,top2_code,top2_description,top2_kc_tags,top2_distance,top2_similarity,top3_code,top3_description,top3_kc_tags,top3_distance,top3_similarity,top4_code,top4_description,top4_kc_tags,top4_distance,top4_similarity,top5_code,top5_description,top5_kc_tags,top5_distance,top5_similarity
46,Find Minimum in List,4,"Student believes that conditional statements, i.e., Python statements that evaluate to either True or False, must be explicitly compared to True or False to be used in conditionals.","CD, EX, OP","LO, CD, VA, IO",False,converted,openai/text-embedding-3-large,3072,203,1604.44,49.7,5,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.501633,0.498367,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.532219,0.467781,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.535445,0.464555,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.53585,0.46415,LO-01,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA",0.553913,0.446087
46,Find Minimum in List,14,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA","LO, CD, VA, IO",False,converted,openai/text-embedding-3-large,3072,221,932.5,3.36,5,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.512688,0.487312,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.542782,0.457218,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.543597,0.456403,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.549039,0.450961,LO-01,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA",0.557617,0.442383
46,Find Minimum in List,16,Student believes that the = operator is used for equality comparison in conditional statements.,OP,"LO, CD, VA, IO",False,converted,openai/text-embedding-3-large,3072,199,1327.95,3.13,5,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.505134,0.494866,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.53581,0.46419,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.539574,0.460426,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.540495,0.459505,LO-01,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA",0.557577,0.442423
46,Find Minimum in List,17,Student believes that colons (:) are used for variable assignment.,"OP, VA","LO, CD, VA, IO",False,converted,openai/text-embedding-3-large,3072,199,1210.6,3.04,5,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.507191,0.492809,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.537534,0.462466,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.54073,0.45927,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.546262,0.453738,LO-01,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA",0.559576,0.440424
46,Find Minimum in List,18,"Student believes that in the expression x == a or b, the comparison operator distributes to both operands of the or operator.","EX, OP","LO, CD, VA, IO",False,converted,openai/text-embedding-3-large,3072,207,893.14,2.97,5,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.501332,0.498668,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.534796,0.465204,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.536506,0.463494,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.540041,0.459959,LO-01,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA",0.556452,0.443548
46,Find Minimum in List,20,Student believes that for loop variables exist in a separate scope and won't affect variables with the same name in the enclosing scope.,"LO, VA","LO, CD, VA, IO",False,converted,openai/text-embedding-3-large,3072,210,905.4,21.64,5,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.508714,0.491286,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.536656,0.463344,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.542757,0.457243,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.543475,0.456525,LO-01,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA",0.561342,0.438658
46,Find Minimum in List,24,Student believes that it is unnecessary for loop variables to be explicitly initialized before the loop.,"LO, VA","LO, CD, VA, IO",False,converted,openai/text-embedding-3-large,3072,205,1225.24,17.16,5,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.505781,0.494219,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.533946,0.466054,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.537877,0.462123,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.540859,0.459141,LO-01,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA",0.557889,0.442111
46,Find Minimum in List,25,Student believes that modifying a for loop variable inside the loop body does not affects the next iteration's value.,"LO, VA","LO, CD, VA, IO",False,converted,openai/text-embedding-3-large,3072,207,1022.17,17.25,5,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.505079,0.494921,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.533279,0.466721,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.537578,0.462422,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.538473,0.461527,LO-01,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA",0.553889,0.446111
46,Find Minimum in List,26,"Student believes that conditional statements, i.e., Python statements that evaluate to either True or False, must always be wrapped in if/else statements to be returned as Boolean values.","CD, EX, OP","LO, CD, VA, IO",False,converted,openai/text-embedding-3-large,3072,237,1358.44,17.47,5,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.495109,0.504891,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.537071,0.462929,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.538887,0.461113,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.5526,0.4474,SQ-05,Student believes some statement types have special execution priority regardless of their position in the algorithm.,"SQ, IO, VA",0.5588,0.4412
46,Find Minimum in List,33,Student believes that multiple mutually exclusive conditions in a control flow construct must each be written as separate if statements.,CD,"LO, CD, VA, IO",False,converted,openai/text-embedding-3-large,3072,217,883.89,17.18,5,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.50784,0.49216,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.534619,0.465381,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.542193,0.457807,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.542733,0.457267,LO-01,Student believes that loop variables are destroyed and are inaccessible after the loop completes.,"LO, VA",0.559047,0.440953
