problem_id,problem_title,misconception_id,misconception_description,misconception_concept,kc_target,is_negative_control,pseudocode_status,model,dimensions,query_token_count,query_latency_ms,retrieval_latency_ms,top_k,top1_code,top1_description,top1_kc_tags,top1_distance,top1_similarity,top2_code,top2_description,top2_kc_tags,top2_distance,top2_similarity,top3_code,top3_description,top3_kc_tags,top3_distance,top3_similarity,top4_code,top4_description,top4_kc_tags,top4_distance,top4_similarity,top5_code,top5_description,top5_kc_tags,top5_distance,top5_similarity
46,Find Minimum in List,,,,,True,correct,openai/text-embedding-3-large,3072,,,,5,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.722867,0.277133,VA-13,Student is uncertain or unaware of which words are reserved by the language and cannot be used as variable identifiers.,VA,0.784364,0.215636,VA-10,Computers know what value should be associated with a variable name.,VA,0.78603,0.21397,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.786263,0.213737,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.812242,0.187758
54,Pokemon Battle Damage,,,,,True,correct,openai/text-embedding-3-large,3072,,,,5,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.775592,0.224408,EX-04,Student believes that different data types can be freely mixed in expressions.,"VA, OP, EX",0.79595,0.20405,VA-02,"Student believes that an assigned expression or formula is stored dynamically, so the assigned variable automatically updates when variables in the expression change.","VA, EX, OP",0.798778,0.201222,OP-01,"Student confuses assignment and equality comparison, for example believing that the symbol = tests for equality in a condition.","CD, OP",0.801682,0.198318,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.804604,0.195396
60,Integer Product Calculator,,,,,True,correct,openai/text-embedding-3-large,3072,,,,5,EX-02,"Student believes that in the expression x == a or b, the comparison operator distributes to both operands of the or operator.","EX, OP",0.714151,0.285849,VA-07,"The assignment statement A = B + 1 changes the value of B by 1, as well as changing A.","VA, OP",0.741684,0.258316,OP-07,Student believes that the arithmetic operation + has higher precedence than the arithmetic operation *.,"EX, OP",0.742518,0.257482,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.753785,0.246215,IO-05,"Student believes a computed result becomes the final answer automatically without an explicit output, display, or recording step.","IO, SQ",0.753808,0.246192
73,Create Identity Matrix,,,,,True,correct,openai/text-embedding-3-large,3072,,,,5,LO-06,"In nested loops, the outer and inner loops execute the same number of times.",LO,0.758728,0.241272,LO-23,"Student believes a loop must produce identical output on every iteration, and struggles to recognize that a loop is applicable when output varies across iterations.",LO,0.762338,0.237662,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.763177,0.236823,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.766027,0.233973,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.774936,0.225064
93,Largest Number from Digits,,,,,True,correct,openai/text-embedding-3-large,3072,,,,5,OP-07,Student believes that the arithmetic operation + has higher precedence than the arithmetic operation *.,"EX, OP",0.779049,0.220951,IO-01,Student believes input or data statements directly print values or place values into memory without an explicit variable-receiving step.,"IO, VA",0.795799,0.204201,OP-05,Student believes that the arithmetic operation + has higher precedence than the arithmetic operation /.,"EX, OP",0.797255,0.202745,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.799273,0.200727,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.804075,0.195925
94,Check Opposite Signs,,,,,True,correct,openai/text-embedding-3-large,3072,,,,5,EX-02,"Student believes that in the expression x == a or b, the comparison operator distributes to both operands of the or operator.","EX, OP",0.691408,0.308592,VA-06,"Assignment statements are commutative, i.e., A = B is equivalent to B = A.","VA, OP",0.739686,0.260314,EX-01,Student believes that Boolean expressions must be explicitly compared to True/False or wrapped in if/else before they can be used or returned.,"CD, EX, OP",0.740588,0.259412,CD-06,Student believes a condition is checked after executing a branch.,CD,0.756447,0.243553,CD-03,Student believes a conditional branch executes regardless of whether its condition is true.,CD,0.762707,0.237293
121,Longest Word Length,,,,,True,correct,openai/text-embedding-3-large,3072,,,,5,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.749139,0.250861,VA-13,Student is uncertain or unaware of which words are reserved by the language and cannot be used as variable identifiers.,VA,0.799045,0.200955,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.810222,0.189778,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.830454,0.169546,VA-10,Computers know what value should be associated with a variable name.,VA,0.83216,0.16784
130,Next Palindrome Number,,,,,True,correct,openai/text-embedding-3-large,3072,,,,5,LO-06,"In nested loops, the outer and inner loops execute the same number of times.",LO,0.728849,0.271151,LO-23,"Student believes a loop must produce identical output on every iteration, and struggles to recognize that a loop is applicable when output varies across iterations.",LO,0.745169,0.254831,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.747797,0.252203,LO-04,Student believes that modifying a for-loop variable inside the loop body does not affect the next iteration's value.,"LO, VA",0.761306,0.238694,LO-18,Student believes the outer and inner loops of a nested loop execute interdependently rather than the inner loop fully completing for each outer iteration.,LO,0.768569,0.231431
152,Filter Words by Length,,,,,True,correct,openai/text-embedding-3-large,3072,,,,5,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.769243,0.230757,VA-13,Student is uncertain or unaware of which words are reserved by the language and cannot be used as variable identifiers.,VA,0.79484,0.20516,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.797069,0.202931,CD-02,Student believes that an if/selection statement can repeat like a loop while its condition holds.,"CD, LO",0.798496,0.201504,LO-06,"In nested loops, the outer and inner loops execute the same number of times.",LO,0.811484,0.188516
176,Range Sum Calculator,,,,,True,correct,openai/text-embedding-3-large,3072,,,,5,LO-03,Student believes that for-loop variables must be explicitly initialized before the loop.,"LO, VA",0.755255,0.244745,VA-13,Student is uncertain or unaware of which words are reserved by the language and cannot be used as variable identifiers.,VA,0.761319,0.238681,IO-03,"Student believes that when multiple input statements use the same variable, only the first input determines the variable's value.","IO, VA",0.770072,0.229928,VA-03,Student believes that variable identifiers can only be one letter long.,VA,0.778672,0.221328,LO-06,"In nested loops, the outer and inner loops execute the same number of times.",LO,0.779308,0.220692
